id,user_id,date,action,action_id
1,30,2021-08-18 04:57:24,edit,3
2,13,2021-10-11 05:39:58,delete,2
3,26,2022-01-06 22:43:19,select,5
4,5,2022-02-18 12:33:00,select,5
5,17,2021-05-03 14:07:56,delete,2
6,5,2022-03-03 11:48:35,edit,3
7,16,2021-12-29 20:13:34,delete,2
8,16,2021-11-18 06:03:21,edit,3
9,1,2022-02-11 19:37:24,delete,2
10,30,2021-07-13 09:53:29,select,5
11,3,2022-04-01 07:39:38,add,1
12,9,2021-07-06 08:08:55,select,5
13,5,2021-12-20 08:19:17,select,5
14,21,2022-02-20 06:38:51,add,1
15,13,2021-09-08 17:48:20,add,1
16,7,2021-11-11 21:27:21,select,5
17,14,2021-07-06 01:53:20,edit,3
18,12,2022-04-17 08:44:02,select,5
19,26,2021-12-25 09:35:29,export,4
20,6,2021-11-11 15:37:23,edit,3
21,19,2021-11-28 04:58:24,delete,2
22,17,2021-11-03 04:42:53,edit,3
23,9,2021-07-12 17:30:38,select,5
24,17,2021-10-12 19:39:04,select,5
25,14,2021-08-11 08:17:00,delete,2
26,27,2022-01-05 20:07:12,delete,2
27,30,2021-07-10 02:55:32,select,5
28,20,2021-10-02 04:57:09,add,1
29,25,2021-11-24 17:12:02,select,5
30,25,2021-08-02 04:59:27,select,5
31,29,2021-07-11 05:19:52,add,1
32,30,2021-08-14 15:36:32,select,5
33,1,2021-05-26 05:08:09,delete,2
34,21,2021-09-25 01:02:40,export,4
35,15,2021-10-24 03:23:33,delete,2
36,29,2022-02-01 15:24:15,select,5
37,2,2021-06-04 11:13:29,select,5
38,21,2021-11-09 08:04:00,add,1
39,19,2021-08-07 22:28:07,edit,3
40,17,2022-04-10 23:08:02,select,5
41,14,2021-11-04 17:34:49,edit,3
42,23,2022-03-07 18:16:25,edit,3
43,27,2022-03-27 10:03:17,delete,2
44,6,2021-05-25 01:27:37,export,4
45,22,2021-10-04 22:41:04,select,5
46,7,2021-06-22 08:16:05,select,5
47,3,2021-07-04 16:18:24,select,5
48,11,2021-05-22 23:48:18,add,1
49,14,2021-12-29 07:58:19,add,1
50,9,2021-07-17 18:20:10,add,1
51,1,2021-06-26 18:38:52,delete,2
52,5,2022-02-05 13:33:55,edit,3
53,2,2021-12-03 21:14:02,export,4
54,17,2021-07-07 17:32:38,delete,2
55,24,2021-09-16 13:42:54,edit,3
56,24,2021-10-27 19:31:03,select,5
57,24,2021-08-15 09:48:32,add,1
58,21,2021-05-16 23:51:22,edit,3
59,15,2022-04-06 17:44:06,select,5
60,1,2021-05-06 08:56:35,delete,2
61,16,2021-12-29 12:51:11,add,1
62,13,2021-06-22 15:28:06,export,4
63,1,2021-04-23 06:47:46,select,5
64,9,2021-07-10 04:05:19,delete,2
65,5,2022-01-18 21:01:16,delete,2
66,11,2022-04-14 10:57:48,edit,3
67,15,2021-12-19 17:56:53,export,4
68,18,2022-02-13 09:18:21,export,4
69,25,2022-02-11 07:36:26,delete,2
70,2,2021-09-25 06:09:43,select,5
71,25,2021-05-09 18:55:13,export,4
72,17,2021-05-13 10:46:41,select,5
73,29,2021-10-04 10:58:06,export,4
74,21,2021-10-16 17:56:34,export,4
75,22,2022-01-09 12:37:27,select,5
76,27,2021-12-21 23:06:14,delete,2
77,20,2022-02-11 03:12:47,select,5
78,11,2021-09-12 01:09:22,select,5
79,17,2022-04-06 17:36:08,export,4
80,13,2021-07-06 16:56:17,add,1
81,20,2022-03-08 17:28:26,edit,3
